SubjID,Age
sub-007,49
sub-008,24
sub-009,42
sub-010,52
sub-011,33
sub-012,27
sub-013,39
sub-014,22
sub-015,35
sub-016,25
sub-017,39
sub-019,54
sub-02,33
sub-020,53
sub-021,51
sub-022,21
sub-023,52
sub-025,40
sub-026,48
sub-027,44
sub-028,33
sub-029,23
sub-032,24
sub-033,53
sub-035,52
sub-036,28
sub-038,48
sub-039,27
sub-04,38
sub-040,22
sub-042,50
sub-043,25
sub-045,25
sub-047,55
sub-048,28
sub-049,28
sub-050,25
sub-051,26
sub-06,44
sub-07,32
sub-101,24
sub-102,23
sub-103,24
sub-104,28
sub-105,53
sub-112,25
sub-113,55
sub-114,41
sub-115,27
sub-116,24
sub-117,27
sub-12,34
sub-120,29
sub-121,26
sub-122,53
sub-123,28
sub-124,34
sub-125,44
sub-126,38
sub-127,58
sub-128,28
sub-129,31
sub-13,25
sub-130,29
sub-131,51
sub-132,30
sub-133,48
sub-135,27
sub-137,32
sub-138,32
sub-14,31
sub-15,26
sub-16,40
sub-18,48
sub-19,23
sub-20,25
sub-21,26
sub-22,25
sub-23,29
sub-25,28
sub-26,18
sub-27,36
sub-28,41
sub-32,48
sub-33,36
sub-35,24
sub-36,26
sub-37,32
sub-38,53
sub-39,42
sub-40,24
sub-41,23
sub-42,25
sub-43,31
sub-44,30
sub-45,24
sub-46,29
sub-47,24
sub-48,29
sub-49,30
sub-50,23
sub-51,42
sub-52,59
sub-53,50
sub-992001,52
sub-992002,50
sub-992003,47
sub-992004,48
sub-992006,46
sub-992007,41
sub-992008,47
sub-992009,28
sub-99201,28
sub-992010,56
sub-992011,30
sub-992012,25
sub-992013,38
sub-992014,29
sub-992015,33
sub-992016,28
sub-992017,26
sub-992018,28
sub-992019,27
sub-99202,47
sub-992020,28
sub-992021,25
sub-992022,43
sub-992024,27
sub-992025,27
sub-992026,38
sub-992027,30
sub-992028,29
sub-992029,39
sub-99203,29
sub-992030,30
sub-992033,37
sub-992034,30
sub-992037,29
sub-992038,40
sub-992039,22
sub-99204,26
sub-992040,21
sub-992041,39
sub-992042,34
sub-992043,41
sub-992044,43
sub-992045,42
sub-99205,31
sub-99206,30
sub-99207,29
sub-99208,30
sub-99209,41
sub-99211,35
sub-99212,28
sub-99213,30
sub-99214,36
sub-99216,48
sub-99217,27
sub-99218,33
sub-99219,36
sub-99220,44
sub-99221,49
