SubjID,7Networks_LH_Vis_1,7Networks_LH_Vis_2,7Networks_LH_Vis_3,7Networks_LH_Vis_4,7Networks_LH_Vis_5,7Networks_LH_Vis_6,7Networks_LH_Vis_7,7Networks_LH_Vis_8,7Networks_LH_Vis_9,7Networks_LH_SomMot_1,7Networks_LH_SomMot_2,7Networks_LH_SomMot_3,7Networks_LH_SomMot_4,7Networks_LH_SomMot_5,7Networks_LH_SomMot_6,7Networks_LH_DorsAttn_Post_1,7Networks_LH_DorsAttn_Post_2,7Networks_LH_DorsAttn_Post_3,7Networks_LH_DorsAttn_Post_4,7Networks_LH_DorsAttn_Post_5,7Networks_LH_DorsAttn_Post_6,7Networks_LH_DorsAttn_PrCv_1,7Networks_LH_DorsAttn_FEF_1,7Networks_LH_SalVentAttn_ParOper_1,7Networks_LH_SalVentAttn_FrOperIns_1,7Networks_LH_SalVentAttn_FrOperIns_2,7Networks_LH_SalVentAttn_PFCl_1,7Networks_LH_SalVentAttn_Med_1,7Networks_LH_SalVentAttn_Med_2,7Networks_LH_SalVentAttn_Med_3,7Networks_LH_Limbic_OFC_1,7Networks_LH_Limbic_TempPole_1,7Networks_LH_Limbic_TempPole_2,7Networks_LH_Cont_Par_1,7Networks_LH_Cont_PFCl_1,7Networks_LH_Cont_pCun_1,7Networks_LH_Cont_Cing_1,7Networks_LH_Default_Temp_1,7Networks_LH_Default_Temp_2,7Networks_LH_Default_Par_1,7Networks_LH_Default_Par_2,7Networks_LH_Default_PFC_1,7Networks_LH_Default_PFC_2,7Networks_LH_Default_PFC_3,7Networks_LH_Default_PFC_4,7Networks_LH_Default_PFC_5,7Networks_LH_Default_PFC_6,7Networks_LH_Default_PFC_7,7Networks_LH_Default_pCunPCC_1,7Networks_LH_Default_pCunPCC_2,7Networks_RH_Vis_1,7Networks_RH_Vis_2,7Networks_RH_Vis_3,7Networks_RH_Vis_4,7Networks_RH_Vis_5,7Networks_RH_Vis_6,7Networks_RH_Vis_7,7Networks_RH_Vis_8,7Networks_RH_SomMot_1,7Networks_RH_SomMot_2,7Networks_RH_SomMot_3,7Networks_RH_SomMot_4,7Networks_RH_SomMot_5,7Networks_RH_SomMot_6,7Networks_RH_SomMot_7,7Networks_RH_SomMot_8,7Networks_RH_DorsAttn_Post_1,7Networks_RH_DorsAttn_Post_2,7Networks_RH_DorsAttn_Post_3,7Networks_RH_DorsAttn_Post_4,7Networks_RH_DorsAttn_Post_5,7Networks_RH_DorsAttn_PrCv_1,7Networks_RH_DorsAttn_FEF_1,7Networks_RH_SalVentAttn_TempOccPar_1,7Networks_RH_SalVentAttn_TempOccPar_2,7Networks_RH_SalVentAttn_FrOperIns_1,7Networks_RH_SalVentAttn_Med_1,7Networks_RH_SalVentAttn_Med_2,7Networks_RH_Limbic_OFC_1,7Networks_RH_Limbic_TempPole_1,7Networks_RH_Cont_Par_1,7Networks_RH_Cont_Par_2,7Networks_RH_Cont_PFCl_1,7Networks_RH_Cont_PFCl_2,7Networks_RH_Cont_PFCl_3,7Networks_RH_Cont_PFCl_4,7Networks_RH_Cont_Cing_1,7Networks_RH_Cont_PFCmp_1,7Networks_RH_Cont_pCun_1,7Networks_RH_Default_Par_1,7Networks_RH_Default_Temp_1,7Networks_RH_Default_Temp_2,7Networks_RH_Default_Temp_3,7Networks_RH_Default_PFCv_1,7Networks_RH_Default_PFCv_2,7Networks_RH_Default_PFCdPFCm_1,7Networks_RH_Default_PFCdPFCm_2,7Networks_RH_Default_PFCdPFCm_3,7Networks_RH_Default_pCunPCC_1,7Networks_RH_Default_pCunPCC_2
sub-007,3272,3987,3992,3553,2375,3705,3632,4957,3076,5276,1996,4069,4260,6335,8087,9721,2679,5547,1755,2402,3081,3875,4780,2856,3992,2974,3718,4697,2054,3151,8509,13600,7447,3780,4267,1928,2074,7019,3979,3260,8491,2391,5140,6403,6112,9323,2685,3368,2009,4681,5346,5757,7751,6482,4000,4496,3583,3981,5413,2274,2495,3045,1932,4567,2401,7155,5263,2513,3257,4418,3512,4663,4409,3296,3494,6125,2604,4615,7552,16245,3517,3295,7248,2995,3676,3770,2409,4175,3357,3426,7975,4455,5109,3284,3157,6218,8414,3969,1995,3869,
sub-008,3659,4709,4990,5954,3678,3612,4928,7985,4727,7196,2087,4588,4701,7098,9817,11905,3133,9134,3077,3530,4508,4752,5182,4596,5444,3350,5890,6319,2738,4401,10233,15716,8142,6254,8416,1896,2237,11019,5073,5191,13214,3578,7497,8615,7587,13726,3620,4913,2248,6591,6911,7386,11394,8557,4595,4924,5451,5296,7800,2355,3726,4167,1709,5150,3464,8148,8369,4018,5437,6053,5025,6740,4758,5031,3841,6985,2711,5606,10633,18323,3780,5681,9724,5394,6341,5833,1652,5301,4547,5916,10767,7004,6671,4954,4084,8889,10312,6510,2125,5058,
sub-009,3511,3759,3324,4186,2756,3810,3526,5517,3260,5338,1894,4365,3955,5538,7799,7569,3485,5840,2162,2264,2774,4180,4280,2880,3997,3248,4234,4770,2128,4197,8492,14979,6835,5494,6450,1540,1917,8274,4282,4189,10274,2954,7184,7070,6630,9729,1752,3075,2007,4553,5106,5197,8583,6119,4543,4161,4248,3925,5588,2000,2710,2865,1511,3870,2353,7255,6013,1928,4366,4985,3675,4635,4626,3253,3008,5673,2317,5640,8065,16336,4266,4231,7404,2816,4947,4413,1948,4747,3392,3291,8030,4958,4966,3481,3488,6793,8991,4694,2047,3387,
sub-010,3325,3357,3028,3349,2215,2781,3918,4834,2543,5022,2169,3795,3558,5260,7519,8171,2064,5325,1459,2350,2751,5029,4685,3043,3483,3174,4357,4887,1900,3259,7984,12284,6017,3810,6090,1333,1699,7112,3237,2723,8003,2450,5995,6159,5646,9445,2371,3261,1471,4519,5027,5163,7160,5805,2424,2975,3521,2930,4944,2021,3090,2949,1387,4014,2042,5884,4401,2290,2303,4506,3315,6263,3780,3016,3274,6000,2158,4704,8174,15558,2949,3820,6099,4607,4142,4656,1468,4111,3417,4286,7373,3813,3942,3378,3670,6392,7589,4115,1412,2963,
sub-011,2718,4797,4425,4229,3590,3427,3522,5926,4324,6443,2133,4107,4350,5975,7523,8689,3065,6564,2020,2227,2684,3977,5576,4545,4239,3233,4390,4771,2187,3539,8464,12539,7013,6304,7021,2418,2236,10547,4216,3944,8229,2604,6393,6533,5128,9555,3411,4151,2049,5271,5202,6703,9497,7537,3990,4634,4917,6259,6146,2093,3026,3619,1637,4573,1851,6775,7299,3349,3273,5740,3269,5249,4730,2769,3106,6124,2406,4805,9047,15106,3044,4035,7050,4100,6151,4589,2041,4135,3967,3083,8724,5871,5304,3638,4068,6835,8892,5175,2095,4338,
sub-012,2532,3886,3282,4834,2887,2820,3671,5613,3236,5101,2486,4156,4532,7240,7371,8103,2983,5949,1792,2558,2695,5015,5050,3538,4091,3021,5683,4857,2598,2838,7213,10073,7106,4386,6268,1818,2064,9048,4053,3683,10245,2664,6288,5851,6157,9915,3967,4128,2205,5866,4888,5951,7824,7292,3503,3867,4269,4652,6250,2593,3142,3402,1384,3831,2074,6453,5469,3012,4544,5132,3223,5424,4784,4373,3991,6518,2540,4296,6861,13305,3364,3992,8643,4624,5143,4034,2183,3529,4191,3648,8204,4688,6267,3508,4413,6393,9210,4662,2253,4370,
sub-013,3412,4445,3957,4923,3027,3520,5699,5719,3741,5095,1930,4332,4451,7329,7517,9942,3306,5512,2371,2497,3114,5643,4398,3638,3498,3604,4388,3952,1930,3367,9463,13587,7341,3400,6528,1774,1472,8623,3192,3735,10604,3220,7308,6438,7134,9217,3121,3044,2088,5955,5447,5754,8195,7039,3289,4272,4463,5119,6197,2081,2646,3522,1724,4828,2310,7283,6028,3185,3457,6061,3910,6381,5110,4161,3058,6400,2793,4930,9266,17354,3545,4505,7802,4061,5043,5193,1886,4231,3566,5105,9994,5143,4088,4002,3786,6145,7739,5330,2009,3404,
sub-014,3092,3953,3234,5018,2955,3272,3795,5164,3372,6617,2328,4580,4165,5220,8687,11789,2999,6866,2204,2430,2967,4482,5064,3266,4285,3452,5972,5821,2222,3658,9910,14737,8500,4466,7375,1450,1793,10363,4680,3631,12803,2822,8653,7812,8805,14256,2193,4580,1829,4786,5512,4843,9564,7015,3060,3318,3974,3676,7233,2678,3154,3705,1642,4449,2035,6733,6411,3000,2788,5439,3759,6982,3797,3659,4138,6443,2801,5767,9248,17912,3830,4709,10271,4191,6811,5290,1847,5570,3982,3615,11414,4743,6381,3278,3875,7216,11243,5941,1889,3971,
sub-015,3143,3521,2847,4757,2657,3395,3117,4833,3198,4974,1725,3963,4057,5734,6696,8558,2754,5524,1910,2392,3078,4836,5066,3639,3752,3017,3918,5541,2095,3506,8061,12700,6045,3847,5974,1798,1076,7746,3655,3438,9715,2502,7279,5222,7455,8146,3719,3302,1774,4349,5416,5218,8482,7058,2992,3759,4791,4698,4906,2102,2863,3414,1569,3632,1847,5521,5280,2730,2312,4415,3425,5951,3637,3506,3223,5981,2566,4706,8060,14710,2505,3193,8176,4464,5265,4401,1298,4680,3682,3229,6470,4521,3474,3052,3514,6420,8377,4594,2000,3063,
sub-016,4616,4690,4652,5966,2734,4081,6022,8513,4107,8188,3126,7275,6157,9095,12308,13505,4030,7911,2946,2907,4357,6672,7340,3870,5243,4313,6300,8327,3010,5643,11755,18276,11074,4379,8668,2442,3307,11957,5404,4602,13758,3736,8570,10143,8130,14708,5149,5550,2956,6305,6756,8142,12416,8320,3287,5209,5358,5684,8150,3012,4069,4434,2296,6256,2494,9879,7265,4400,5175,6801,4784,7963,7676,4971,5701,8366,3801,9002,11978,22634,5567,5714,10527,7303,7826,6890,2601,6667,5048,4120,12788,6510,6751,4767,5663,9226,12633,7268,2763,4483,
