ROI_name,t-statistic
lh_bankssts_part1,-1.30037592
lh_bankssts_part2,0.85142661
lh_caudalanteriorcingulate_part1,-2.748304002
lh_caudalmiddlefrontal_part1,-0.062360797
lh_caudalmiddlefrontal_part2,-0.90011433
lh_caudalmiddlefrontal_part3,0.273671258
lh_caudalmiddlefrontal_part4,0.020130003
lh_cuneus_part1,-1.259104243
lh_cuneus_part2,-1.736307961
lh_entorhinal_part1,1.756639669
lh_fusiform_part1,2.758144394
lh_fusiform_part2,2.009000549
lh_fusiform_part3,1.303642698
lh_fusiform_part4,0.643633847
lh_fusiform_part5,0.904839411
lh_inferiorparietal_part1,0.047295879
lh_inferiorparietal_part2,-2.167237569
lh_inferiorparietal_part3,-2.000169893
lh_inferiorparietal_part4,-0.297081919
lh_inferiorparietal_part5,-0.575316376
lh_inferiorparietal_part6,0.925950411
lh_inferiorparietal_part7,-1.491230843
lh_inferiorparietal_part8,-0.585954838
lh_inferiortemporal_part1,3.032409988
lh_inferiortemporal_part2,1.172239922
lh_inferiortemporal_part3,1.726245191
lh_inferiortemporal_part4,-0.155478671
lh_inferiortemporal_part5,0.233552315
lh_inferiortemporal_part6,-0.33838726
lh_isthmuscingulate_part1,-0.091142717
lh_isthmuscingulate_part2,-0.990400878
lh_lateraloccipital_part1,0.082108399
lh_lateraloccipital_part2,0.86372619
lh_lateraloccipital_part3,0.044605282
lh_lateraloccipital_part4,0.423377371
lh_lateraloccipital_part5,-0.002728914
lh_lateraloccipital_part6,-0.285764103
lh_lateraloccipital_part7,-0.1305739
lh_lateraloccipital_part8,-0.133364255
lh_lateraloccipital_part9,0.270226318
lh_lateralorbitofrontal_part1,-2.169548167
lh_lateralorbitofrontal_part2,0.951282737
lh_lateralorbitofrontal_part3,1.604193643
lh_lateralorbitofrontal_part4,0.767458081
lh_lingual_part1,0.507651086
lh_lingual_part2,0.120072948
lh_lingual_part3,-0.60372399
lh_lingual_part4,0.071607291
lh_lingual_part5,-1.630364364
lh_lingual_part6,0.674691545
lh_medialorbitofrontal_part1,0.179269524
lh_medialorbitofrontal_part2,-0.747539744
lh_medialorbitofrontal_part3,-1.148305629
lh_middletemporal_part1,0.596071531
lh_middletemporal_part2,-1.299981098
lh_middletemporal_part3,2.589882436
lh_middletemporal_part4,-0.81991425
lh_middletemporal_part5,-1.211237274
lh_parahippocampal_part1,1.795056493
lh_parahippocampal_part2,0.74627719
lh_paracentral_part1,-1.122355474
lh_paracentral_part2,-0.77310869
lh_paracentral_part3,-1.506300217
lh_parsopercularis_part1,-0.264218739
lh_parsopercularis_part2,0.463028816
lh_parsopercularis_part3,1.245026419
lh_parsorbitalis_part1,-0.861430714
lh_parstriangularis_part1,-0.199543419
lh_parstriangularis_part2,0.011151277
lh_pericalcarine_part1,-1.308603621
lh_pericalcarine_part2,-0.644209755
lh_postcentral_part1,0.726241621
lh_postcentral_part2,0.872699914
lh_postcentral_part3,0.694281061
lh_postcentral_part4,-2.126805301
lh_postcentral_part5,-0.455598165
lh_postcentral_part6,-1.107765854
lh_postcentral_part7,-1.628821463
lh_postcentral_part8,-2.141319546
lh_posteriorcingulate_part1,-1.459233393
lh_posteriorcingulate_part2,-1.78721058
lh_precentral_part1,1.708322549
lh_precentral_part2,0.021380553
lh_precentral_part3,1.116919989
lh_precentral_part4,-1.151246898
lh_precentral_part5,1.490412323
lh_precentral_part6,0.37933018
lh_precentral_part7,-2.139210616
lh_precentral_part8,1.526440949
lh_precentral_part9,1.602589773
lh_precuneus_part1,-0.50074415
lh_precuneus_part2,0.300157104
lh_precuneus_part3,0.298174672
lh_precuneus_part4,1.400279005
lh_precuneus_part5,-0.512934908
lh_precuneus_part6,0.169133134
lh_precuneus_part7,-2.51357881
lh_rostralanteriorcingulate_part1,-1.716777136
lh_rostralmiddlefrontal_part1,-0.884294562
lh_rostralmiddlefrontal_part2,0.113838752
lh_rostralmiddlefrontal_part3,0.323786994
lh_rostralmiddlefrontal_part4,0.801707949
lh_rostralmiddlefrontal_part5,-0.822814242
lh_rostralmiddlefrontal_part6,0.518200776
lh_rostralmiddlefrontal_part7,-0.254919891
lh_rostralmiddlefrontal_part8,1.295086631
lh_rostralmiddlefrontal_part9,-0.628598353
lh_rostralmiddlefrontal_part10,0.236475752
lh_superiorfrontal_part1,-0.015219416
lh_superiorfrontal_part2,0.405839374
lh_superiorfrontal_part3,0.696771909
lh_superiorfrontal_part4,-0.381557657
lh_superiorfrontal_part5,0.532883103
lh_superiorfrontal_part6,0.395434763
lh_superiorfrontal_part7,0.184721834
lh_superiorfrontal_part8,2.131061583
lh_superiorfrontal_part9,0.420153915
lh_superiorfrontal_part10,-1.535261036
lh_superiorfrontal_part11,1.208882722
lh_superiorfrontal_part12,1.140041071
lh_superiorfrontal_part13,1.817885016
lh_superiorparietal_part1,1.073729692
lh_superiorparietal_part2,-0.548593134
lh_superiorparietal_part3,1.685959203
lh_superiorparietal_part4,0.730223776
lh_superiorparietal_part5,-0.631618087
lh_superiorparietal_part6,0.474219951
lh_superiorparietal_part7,2.671770477
lh_superiorparietal_part8,-0.935980082
lh_superiorparietal_part9,1.495575719
lh_superiorparietal_part10,3.169047226
lh_superiortemporal_part1,2.016559508
lh_superiortemporal_part2,-0.130538526
lh_superiortemporal_part3,-0.895544114
lh_superiortemporal_part4,0.442149248
lh_superiortemporal_part5,-1.092511035
lh_superiortemporal_part6,0.154560379
lh_superiortemporal_part7,0.250292649
lh_supramarginal_part1,-1.098577335
lh_supramarginal_part2,0.156129076
lh_supramarginal_part3,-3.009620423
lh_supramarginal_part4,-0.437075592
lh_supramarginal_part5,-1.307723414
lh_supramarginal_part6,-2.023370665
lh_supramarginal_part7,-0.554334939
lh_frontalpole_part1,0.368227901
lh_temporalpole_part1,2.992126285
lh_transversetemporal_part1,0.730785587
lh_insula_part1,0.568082843
lh_insula_part2,0.886857419
lh_insula_part3,0.541285811
lh_insula_part4,0.345723893
