ROI_name,t-statistic
L_V1,-1.2149
L_MST,0.82068
L_V6,0.8744
L_V2,-0.7425
L_V3,-0.38124
L_V4,-0.48488
L_V8,-1.0941
L_4,0.6596
L_3b,-0.14506
L_FEF,1.6604
L_PEF,1.1073
L_55b,0.13616
L_V3A,0.69272
L_RSC,1.3557
L_POS2,1.3345
L_V7,1.3466
L_IPS1,-2.3992
L_FFC,1.4266
L_V3B,0.19852
L_LO1,-1.4058
L_LO2,-1.3245
L_PIT,0.034075
L_MT,-1.0096
L_A1,0.56654
L_PSL,-1.1879
L_SFL,0.30612
L_PCV,-0.06152
L_STV,-1.6602
L_7Pm,0.42993
L_7m,1.2056
L_POS1,0.78953
L_23d,0.49156
L_v23ab,1.897
L_d23ab,-0.28004
L_31pv,1.8577
L_5m,0.81108
L_5mv,-0.30386
L_23c,0.68388
L_5L,-0.44751
L_24dd,-1.6509
L_24dv,1.2331
L_7AL,0.38576
L_SCEF,1.3403
L_6ma,0.008528
L_7Am,-0.18067
L_7PL,0.93354
L_7PC,0.06432
L_LIPv,0.3832
L_VIP,0.080134
L_MIP,-2.1339
L_1,-0.58112
L_2,0.28326
L_3a,-1.4306
L_6d,0.32802
L_6mp,-0.09643
L_6v,1.4442
L_p24pr,-0.74232
L_33pr,0.29381
L_a24pr,0.35337
L_p32pr,0.15715
L_a24,-0.28249
L_d32,-1.2715
L_8BM,-0.63129
L_p32,-0.080848
L_10r,-0.00036843
L_47m,-0.55705
L_8Av,0.19598
L_8Ad,-0.60909
L_9m,-0.47247
L_8BL,1.0185
L_9p,0.026752
L_10d,-0.092785
L_8C,0.08738
L_44,0.72632
L_45,-1.4706
L_47l,0.09898
L_a47r,-1.7281
L_6r,0.4379
L_IFJa,2.3637
L_IFJp,-0.09702
L_IFSp,-0.63742
L_IFSa,-0.4255
L_p9-46v,0.21922
L_46,-0.66176
L_a9-46v,-0.93297
L_9-46d,-1.5485
L_9a,0.56268
L_10v,-0.057092
L_a10p,-0.51658
L_10pp,1.7643
L_11l,1.3726
L_13l,1.2281
L_OFC,-0.79272
L_47s,-1.0316
L_LIPd,2.0643
L_6a,-0.5634
L_i6-8,-0.010946
L_s6-8,2.7656
L_43,1.1227
L_OP4,0.33101
L_OP1,0.60449
L_OP2-3,0.49107
L_52,0.79248
L_RI,0.96411
L_PFcm,-0.34156
L_PoI2,0.38741
L_TA2,1.0668
L_FOP4,-1.3646
L_MI,-0.84054
L_Pir,-1.0193
L_AVI,2.4814
L_AAIC,0.34151
L_FOP1,0.5128
L_FOP3,-0.48465
L_FOP2,-0.35514
L_PFt,0.11186
L_AIP,-0.10746
L_EC,-0.57258
L_PreS,-0.19175
L_H,-1.2704
L_ProS,0.89616
L_PeEc,-2.2375
L_STGa,2.0314
L_PBelt,0.54995
L_A5,0.45526
L_PHA1,1.0207
L_PHA3,0.85178
L_STSda,1.8408
L_STSdp,-0.84065
L_STSvp,-0.14794
L_TGd,-1.6974
L_TE1a,1.2445
L_TE1p,-1.6538
L_TE2a,-0.89213
L_TF,-0.63211
L_TE2p,0.78343
L_PHT,1.2771
L_PH,1.9634
L_TPOJ1,-0.64884
L_TPOJ2,1.3735
L_TPOJ3,-0.57635
L_DVT,0.88572
L_PGp,-1.7176
L_IP2,2.0009
L_IP1,-1.8789
L_IP0,-0.41594
L_PFop,0.12655
L_PF,0.50028
L_PFm,-0.54057
L_PGi,-0.86854
L_PGs,-2.0122
L_V6A,1.8105
L_VMV1,-1.0504
L_VMV3,0.90092
L_PHA2,-0.28617
L_V4t,-1.4655
L_FST,0.76076
L_V3CD,-0.94251
L_LO3,-1.0837
L_VMV2,-0.10896
L_31pd,-0.88423
L_31a,-0.35511
L_VVC,-0.78287
L_25,-1.2077
L_s32,1.6681
L_pOFC,-1.9458
L_PoI1,-0.17933
L_Ig,-0.78733
L_FOP5,-0.88321
L_p10p,-1.0151
L_p47r,-0.46215
L_TGv,-0.59041
L_MBelt,-0.23062
L_LBelt,0.76608
L_A4,-0.92499
L_STSva,-0.84121
L_TE1m,1.0768
L_PI,1.0525
L_a32pr,0.249
L_p24,-0.92634
