ROI_name,t-statistic
7Networks_LH_Vis_1,-1.1091
7Networks_LH_Vis_2,0.5907
7Networks_LH_Vis_3,1.2771
7Networks_LH_Vis_4,-0.041864
7Networks_LH_Vis_5,0.15685
7Networks_LH_Vis_6,0.16394
7Networks_LH_Vis_7,-0.44581
7Networks_LH_Vis_8,-1.4732
7Networks_LH_Vis_9,0.0028667
7Networks_LH_Vis_10,-0.2048
7Networks_LH_Vis_11,-0.88629
7Networks_LH_Vis_12,1.2493
7Networks_LH_Vis_13,0.52795
7Networks_LH_Vis_14,0.94488
7Networks_LH_SomMot_1,-0.29864
7Networks_LH_SomMot_2,0.061375
7Networks_LH_SomMot_3,0.33793
7Networks_LH_SomMot_4,-0.1636
7Networks_LH_SomMot_5,0.96387
7Networks_LH_SomMot_6,1.4842
7Networks_LH_SomMot_7,-0.2216
7Networks_LH_SomMot_8,-1.7548
7Networks_LH_SomMot_9,-0.080683
7Networks_LH_SomMot_10,-0.91577
7Networks_LH_SomMot_11,-0.35971
7Networks_LH_SomMot_12,0.47932
7Networks_LH_SomMot_13,-0.10971
7Networks_LH_SomMot_14,-0.60882
7Networks_LH_SomMot_15,-0.65786
7Networks_LH_SomMot_16,-0.65755
7Networks_LH_DorsAttn_Post_1,-0.046546
7Networks_LH_DorsAttn_Post_2,0.35862
7Networks_LH_DorsAttn_Post_3,-1.7601
7Networks_LH_DorsAttn_Post_4,0.49371
7Networks_LH_DorsAttn_Post_5,0.88363
7Networks_LH_DorsAttn_Post_6,0.4974
7Networks_LH_DorsAttn_Post_7,2.0326
7Networks_LH_DorsAttn_Post_8,-0.91656
7Networks_LH_DorsAttn_Post_9,0.056116
7Networks_LH_DorsAttn_Post_10,1.429
7Networks_LH_DorsAttn_FEF_1,0.28554
7Networks_LH_DorsAttn_FEF_2,0.28634
7Networks_LH_DorsAttn_PrCv_1,0.046779
7Networks_LH_SalVentAttn_ParOper_1,-1.8343
7Networks_LH_SalVentAttn_ParOper_2,0.53826
7Networks_LH_SalVentAttn_ParOper_3,0.24078
7Networks_LH_SalVentAttn_FrOperIns_1,-0.58666
7Networks_LH_SalVentAttn_FrOperIns_2,-0.64151
7Networks_LH_SalVentAttn_FrOperIns_3,-0.96031
7Networks_LH_SalVentAttn_FrOperIns_4,0.15721
7Networks_LH_SalVentAttn_PFCl_1,-0.81961
7Networks_LH_SalVentAttn_Med_1,0.71394
7Networks_LH_SalVentAttn_Med_2,0.33272
7Networks_LH_SalVentAttn_Med_3,1.0471
7Networks_LH_Limbic_OFC_1,-1.652
7Networks_LH_Limbic_OFC_2,-0.60847
7Networks_LH_Limbic_TempPole_1,-3.2872
7Networks_LH_Limbic_TempPole_2,-0.41172
7Networks_LH_Limbic_TempPole_3,-1.869
7Networks_LH_Limbic_TempPole_4,-0.187
7Networks_LH_Cont_Par_1,0.14768
7Networks_LH_Cont_Par_2,-0.79839
7Networks_LH_Cont_Par_3,1.8865
7Networks_LH_Cont_Temp_1,0.20549
7Networks_LH_Cont_OFC_1,0.9137
7Networks_LH_Cont_PFCl_1,-0.21773
7Networks_LH_Cont_PFCl_2,-0.32019
7Networks_LH_Cont_PFCl_3,0.2797
7Networks_LH_Cont_PFCl_4,-0.52219
7Networks_LH_Cont_PFCl_5,-0.58015
7Networks_LH_Cont_pCun_1,0.62833
7Networks_LH_Cont_Cing_1,1.0848
7Networks_LH_Cont_Cing_2,0.97278
7Networks_LH_Default_Temp_1,-0.55471
7Networks_LH_Default_Temp_2,0.42459
7Networks_LH_Default_Temp_3,0.79283
7Networks_LH_Default_Temp_4,0.22463
7Networks_LH_Default_Temp_5,-0.30675
7Networks_LH_Default_Par_1,-1.1962
7Networks_LH_Default_Par_2,-0.093679
7Networks_LH_Default_Par_3,-0.76735
7Networks_LH_Default_Par_4,-1.5081
7Networks_LH_Default_PFC_1,-1.9277
7Networks_LH_Default_PFC_2,-0.22579
7Networks_LH_Default_PFC_3,-0.184
7Networks_LH_Default_PFC_4,0.84283
7Networks_LH_Default_PFC_5,1.1119
7Networks_LH_Default_PFC_6,-0.99793
7Networks_LH_Default_PFC_7,0.085644
7Networks_LH_Default_PFC_8,-1.1266
7Networks_LH_Default_PFC_9,-0.28253
7Networks_LH_Default_PFC_10,-1.9085
7Networks_LH_Default_PFC_11,0.85425
7Networks_LH_Default_PFC_12,-0.78158
7Networks_LH_Default_PFC_13,0.47105
7Networks_LH_Default_pCunPCC_1,2.402
7Networks_LH_Default_pCunPCC_2,0.62197
7Networks_LH_Default_pCunPCC_3,-0.091705
7Networks_LH_Default_pCunPCC_4,0.44399
7Networks_LH_Default_PHC_1,-2.1181
